Código Departamento;Departamento;Código Entidad;Entidad;Dimensión;Subcategoría;Indicador;Dato Numérico;Dato Cualitativo;Año;Mes;Fuente;Unidad de Medida
5;Antioquia;5042;Santafé de Antioquia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,61;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5044;Anzá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;94,11;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5045;Apartadó;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;89,96;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5051;Arboletes;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,48;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5055;Argelia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;85,28;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5059;Armenia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,98;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5079;Barbosa;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5086;Belmira;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,27;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5088;Bello;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5091;Betania;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,22;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5093;Betulia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,23;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5101;Ciudad Bolívar;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,8;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5107;Briceño;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;88,83;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5113;Buriticá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,86;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5120;Cáceres;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;72,19;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5125;Caicedo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,62;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5129;Caldas;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,88;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5134;Campamento;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,23;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5138;Cañasgordas;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,13;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5142;Caracolí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;93,41;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5145;Caramanta;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,48;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5147;Carepa;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;93,53;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5148;El Carmen de Viboral;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,66;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5150;Carolina;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,9;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5154;Caucasia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;89,52;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5172;Chigorodó;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;86,49;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5190;Cisneros;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;94,62;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5197;Cocorná;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;93,45;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5206;Concepción;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,24;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5209;Concordia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,47;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5212;Copacabana;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5234;Dabeiba;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;86,17;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5237;Don Matías;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,64;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5240;Ebéjico;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,76;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5250;El Bagre;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;82,44;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5264;Entrerrios;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,7;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5266;Envigado;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5282;Fredonia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,6;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5284;Frontino;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;88,14;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5306;Giraldo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,43;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5308;Girardota;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5310;Gómez Plata;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,08;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5313;Granada;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,14;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5315;Guadalupe;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,46;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5318;Guarne;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,37;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5321;Guatapé;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,48;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5347;Heliconia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,24;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5353;Hispania;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,12;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5360;Itagüí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5361;Ituango;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;86,47;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5364;Jardín;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,35;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5368;Jericó;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,31;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5376;La Ceja;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,31;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5380;La Estrella;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5390;La Pintada;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,81;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5400;La Unión;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,2;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5411;Liborina;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,29;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5425;Maceo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;94,54;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5440;Marinilla;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,08;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5467;Montebello;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,56;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5475;Murindó;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;80,31;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5480;Mutatá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;78,32;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5483;Nariño;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,17;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5490;Necoclí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,15;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5495;Nechí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;87,11;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5501;Olaya;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;93,96;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5541;Peñol;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,66;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5543;Peque;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,92;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5576;Pueblorrico;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,2;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5579;Puerto Berrío;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;94,73;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5585;Puerto Nare;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;94,32;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5591;Puerto Triunfo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,8;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5604;Remedios;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;83,17;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5607;Retiro;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,34;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5615;Rionegro;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,71;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5628;Sabanalarga;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,12;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5631;Sabaneta;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5642;Salgar;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,47;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5647;San Andrés de Cuerquía;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,12;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5649;San Carlos;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;91,21;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5652;San Francisco;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;87,54;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5656;San Jerónimo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,5;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5658;San José de La Montaña;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,56;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5659;San Juan de Urabá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,78;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5660;San Luis;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;92,78;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5664;San Pedro de Los Milagros;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,58;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5665;San Pedro de Urabá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;90,73;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5667;San Rafael;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,3;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5670;San Roque;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5674;San Vicente;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,93;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5679;Santa Bárbara;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,87;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5686;Santa Rosa de Osos;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,85;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5690;Santo Domingo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,36;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5697;El Santuario;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,1;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5736;Segovia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;72,2;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5756;Sonsón;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;94,79;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5761;Sopetrán;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,38;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5789;Támesis;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,07;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5790;Tarazá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;78,74;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5792;Tarso;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,51;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5809;Titiribí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,36;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5819;Toledo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,07;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5837;Turbo;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;91,56;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5842;Uramita;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;94,8;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5847;Urrao;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;90,91;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5854;Valdivia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;92,38;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5856;Valparaíso;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,23;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5858;Vegachí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,02;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5861;Venecia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;99,26;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5873;Vigía del Fuerte;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;91,65;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5885;Yalí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,54;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5887;Yarumal;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,87;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5890;Yolombó;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;96,25;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5893;Yondó;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;80,59;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5895;Zaragoza;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;80,4;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5000;Antioquia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;16,64;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5001;Medellín;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;22,7;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5002;Abejorral;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;5,19;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5004;Abriaquí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;3,7;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5021;Alejandría;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;8,99;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5030;Amagá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;8,98;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5031;Amalfi;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;7,73;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5034;Andes;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Penetración de banda ancha;6,09;;2018;3;Ministerio de Tecnologías de la Información y las Comunicaciones;Porcentaje (el valor está multiplicado por 100)
